name,seed,gamma,gamma_type,epochs,batch_size,cog_mtl,discount,max_time_steps,w_lambda,action_lim,cog_init,cog_type,energy_model,score,network,algo,category,train_mae,valid_mae,test_mae,train_mse,valid_mse,test_mse,train_mae_emci,valid_mae_emci,test_mae_emci,train_mae_cn,valid_mae_cn,test_mae_cn,train_mae_lmci,valid_mae_lmci,test_mae_lmci,train_mae_smc,valid_mae_smc,test_mae_smc,train_mse_emci,valid_mse_emci,test_mse_emci,train_mse_cn,valid_mse_cn,test_mse_cn,train_mse_lmci,valid_mse_lmci,test_mse_lmci,train_mse_smc,valid_mse_smc,test_mse_smc,train_reward_rl,valid_reward_rl,test_reward_rl,train_reward,valid_reward,test_reward
adni_fold4,2,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,2.985,2.867,2.786,11.361,10.242,10.237,2.831,2.694,2.585,3.372,3.323,3.474,2.791,2.649,1.859,3.072,2.584,2.779,10.645,9.503,8.453,13.522,12.835,15.149,10.257,9.163,4.811,11.199,7.685,9.112,-6.261,-6.053,-6.156,0,0,0
adni_fold1,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.952,1.998,2.034,4.856,4.846,5.19,1.928,2.034,1.972,2.09,1.947,2.361,1.717,2.055,1.794,2.05,1.795,1.682,4.736,4.964,4.93,5.408,4.694,6.747,4.03,5.012,3.917,5.149,4.189,3.713,-5.103,-4.815,-10.785,0,0,0
adni_fold0,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.658,0.699,0.548,0.8,0.705,0.409,0.682,0.661,0.472,0.612,0.587,0.622,0.786,0.866,0.511,0.485,0.57,0.684,0.866,0.621,0.305,0.508,0.428,0.519,1.403,1.108,0.343,0.334,0.384,0.579,-3.867,-3.926,-3.856,0,0,0
adni_fold1,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.62,0.421,0.588,1.027,0.382,1.264,0.685,0.429,0.7,0.334,0.236,0.453,1.146,0.549,0.712,0.296,0.457,0.339,0.988,0.405,2.318,0.275,0.092,0.525,2.898,0.535,1.118,0.159,0.485,0.17,-3.65,-3.296,-3.775,0,0,0
adni_fold4,5,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.508,0.31,0.55,0.572,0.208,0.98,0.597,0.261,0.458,0.36,0.293,0.275,0.577,0.442,1.362,0.349,0.408,0.255,0.746,0.135,0.418,0.254,0.208,0.155,0.766,0.322,3.838,0.19,0.36,0.12,-3.535,-3.201,-15.068,0,0,0
adni_fold4,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.594,0.374,0.627,0.658,0.244,0.918,0.651,0.314,0.582,0.518,0.469,0.44,0.641,0.374,1.18,0.429,0.358,0.387,0.827,0.146,0.564,0.439,0.417,0.358,0.738,0.19,2.905,0.284,0.22,0.198,-3.714,-3.352,-15.214,0,0,0
adni_fold3,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.535,0.43,0.563,0.805,0.377,0.792,0.567,0.636,0.622,0.328,0.323,0.335,0.903,0.342,0.805,0.357,0.321,0.327,0.842,0.732,0.917,0.224,0.189,0.306,1.984,0.239,1.411,0.241,0.165,0.195,-3.804,-3.391,-3.578,0,0,0
adni_fold3,2,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.56,0.433,0.6,0.913,0.42,0.876,0.596,0.648,0.643,0.346,0.314,0.346,0.949,0.353,0.978,0.351,0.322,0.317,1.008,0.824,0.972,0.264,0.189,0.336,2.137,0.289,1.744,0.249,0.167,0.195,-3.758,-3.368,-3.513,0,0,0
adni_fold2,2,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,2.275,2.59,2.352,7.291,9.032,7.923,2.081,2.437,2.507,2.749,3.118,2.252,2.157,1.482,2.27,1.939,2.829,2.038,6.368,8.72,8.745,9.767,11.103,7.448,6.746,3.666,7.646,5.093,9.891,5.259,-5.715,-5.91,-5.667,0,0,0
adni_fold4,2,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.52,0.327,0.542,0.623,0.188,0.857,0.666,0.267,0.486,0.337,0.322,0.315,0.535,0.409,1.203,0.297,0.472,0.269,0.952,0.114,0.39,0.227,0.199,0.165,0.632,0.224,3.264,0.148,0.38,0.109,-5.392,-3.284,-20.851,0,0,0
adni_fold1,4,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.598,0.387,0.569,0.936,0.33,0.762,0.672,0.376,0.663,0.352,0.27,0.522,1.015,0.476,0.579,0.31,0.479,0.345,0.945,0.314,1.069,0.307,0.12,0.635,2.423,0.468,0.691,0.185,0.51,0.194,-3.704,-3.325,-9.497,0,0,0
adni_fold4,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.289,0.924,1.406,4.155,2.863,4.624,1.369,1.033,1.518,1.161,0.958,1.458,1.534,0.587,1.608,0.703,0.749,0.648,4.483,3.607,5.133,4.109,3.274,5.767,4.824,0.66,3.726,1.159,1.179,1.5,-5.014,-4.619,-10.849,0,0,0
